premise,choice1,choice2,question,difficulty,answer,label,split,input,output,task,option1,option2
The manufacturer wouldn't fix the screen on the laptop after it went black.,The laptop's warranty expired.,The laptop's battery died.,cause,,1,0,val,"the manufacturer wouldn't fix the screen on the laptop after it went black.
what was the cause?
(a) the laptops warranty expired
(b) the laptops battery died",the laptops warranty expired,copa,the laptops warranty expired,the laptops battery died
The woman was summoned for jury duty.,She contacted her lawyer.,She cancelled her appointments.,effect,,2,1,val,"the woman was summoned for jury duty.
what was the effect?
(a) she contacted her lawyer
(b) she cancelled her appointments",she cancelled her appointments,copa,she contacted her lawyer,she cancelled her appointments
The buerau drawers were opened.,I threw away unnecessary contents.,I locked the drawers shut.,effect,,2,1,val,"the buerau drawers were opened.
what was the effect?
(a) i threw away unnecessary contents
(b) i locked the drawers shut",i locked the drawers shut,copa,i threw away unnecessary contents,i locked the drawers shut
The kidnappers released the hostage.,They escaped from jail.,They accepted ransom money.,cause,,2,1,val,"the kidnappers released the hostage.
what was the cause?
(a) they escaped from jail
(b) they accepted ransom money",they accepted ransom money,copa,they escaped from jail,they accepted ransom money
The fans in the stadium cheered.,The game ended in a tie.,The player scored.,cause,,2,1,val,"the fans in the stadium cheered.
what was the cause?
(a) the game ended in a tie
(b) the player scored",the player scored,copa,the game ended in a tie,the player scored
The doctor x-rayed the patient's arm.,He put the patient's arm in a cast.,He discovered that the patient's arm was broken.,effect,,2,1,val,"the doctor x-rayed the patient's arm.
what was the effect?
(a) he put the patients arm in a cast
(b) he discovered that the patients arm was broken",he discovered that the patients arm was broken,copa,he put the patients arm in a cast,he discovered that the patients arm was broken
The bird couldn't fly.,It migrated for the winter.,It injured its wing.,cause,,2,1,val,"the bird couldn't fly.
what was the cause?
(a) it migrated for the winter
(b) it injured its wing",it injured its wing,copa,it migrated for the winter,it injured its wing
The bartender refused to serve the patron.,The patron was alone.,The patron was drunk.,cause,,2,1,val,"the bartender refused to serve the patron.
what was the cause?
(a) the patron was alone
(b) the patron was drunk",the patron was drunk,copa,the patron was alone,the patron was drunk
The magnet attracted the paperclip.,The paperclip dropped from the magnet.,The paperclip stuck to the magnet.,effect,,2,1,val,"the magnet attracted the paperclip.
what was the effect?
(a) the paperclip dropped from the magnet
(b) the paperclip stuck to the magnet",the paperclip stuck to the magnet,copa,the paperclip dropped from the magnet,the paperclip stuck to the magnet
The man liked the book.,He finished reading it.,It provoked him to think.,cause,,2,1,val,"the man liked the book.
what was the cause?
(a) he finished reading it
(b) it provoked him to think",it provoked him to think,copa,he finished reading it,it provoked him to think
The man had an attack of conscience.,He manipulated his friend.,He admitted his indiscretion.,effect,,2,1,val,"the man had an attack of conscience.
what was the effect?
(a) he manipulated his friend
(b) he admitted his indiscretion",he admitted his indiscretion,copa,he manipulated his friend,he admitted his indiscretion
The bowling ball did not knock over any bowling pins.,The man dropped the bowling ball on his foot.,The man rolled the bowling ball down the alley.,cause,,1,0,val,"the bowling ball did not knock over any bowling pins.
what was the cause?
(a) the man dropped the bowling ball on his foot
(b) the man rolled the bowling ball down the alley",the man dropped the bowling ball on his foot,copa,the man dropped the bowling ball on his foot,the man rolled the bowling ball down the alley
The woman awakened.,She took sleeping pills.,Her husband was snoring.,cause,,2,1,val,"the woman awakened.
what was the cause?
(a) she took sleeping pills
(b) her husband was snoring",her husband was snoring,copa,she took sleeping pills,her husband was snoring
The girl had bad luck.,She saw a black cat.,She saw a shooting star.,cause,,1,0,val,"the girl had bad luck.
what was the cause?
(a) she saw a black cat
(b) she saw a shooting star",she saw a black cat,copa,she saw a black cat,she saw a shooting star
I was late for the meeting.,I hailed a cab.,I called 911.,effect,,1,0,val,"i was late for the meeting.
what was the effect?
(a) i hailed a cab
(b) i called 911",i hailed a cab,copa,i hailed a cab,i called 911
The woman got charged with the crime.,Her accomplice was apprehended.,She destroyed the evidence.,cause,,1,0,val,"the woman got charged with the crime.
what was the cause?
(a) her accomplice was apprehended
(b) she destroyed the evidence",her accomplice was apprehended,copa,her accomplice was apprehended,she destroyed the evidence
The man got up earlier.,He wanted to shut off the alarm clock.,He wanted to iron his pants before work.,cause,,2,1,val,"the man got up earlier.
what was the cause?
(a) he wanted to shut off the alarm clock
(b) he wanted to iron his pants before work",he wanted to iron his pants before work,copa,he wanted to shut off the alarm clock,he wanted to iron his pants before work
The turtle hid in its shell.,It detected a predator.,It ate a fish.,cause,,1,0,val,"the turtle hid in its shell.
what was the cause?
(a) it detected a predator
(b) it ate a fish",it detected a predator,copa,it detected a predator,it ate a fish
The man grew old.,He sold his belongings.,His hair turned gray.,effect,,2,1,val,"the man grew old.
what was the effect?
(a) he sold his belongings
(b) his hair turned gray",his hair turned gray,copa,he sold his belongings,his hair turned gray
The girl handed down her clothes to her younger sister.,She outgrew the clothes.,The clothes were tattered.,cause,,1,0,val,"the girl handed down her clothes to her younger sister.
what was the cause?
(a) she outgrew the clothes
(b) the clothes were tattered",she outgrew the clothes,copa,she outgrew the clothes,the clothes were tattered
I made my friend very tired.,My friend awoke.,My friend snored.,effect,,2,1,val,"i made my friend very tired.
what was the effect?
(a) my friend awoke
(b) my friend snored",my friend snored,copa,my friend awoke,my friend snored
The hamburger meat can be stored for a long time.,The cook grilled it.,The cook froze it.,cause,,2,1,val,"the hamburger meat can be stored for a long time.
what was the cause?
(a) the cook grilled it
(b) the cook froze it",the cook froze it,copa,the cook grilled it,the cook froze it
The teacher assigned homework to the students.,The students passed notes.,The students groaned.,effect,,2,1,val,"the teacher assigned homework to the students.
what was the effect?
(a) the students passed notes
(b) the students groaned",the students groaned,copa,the students passed notes,the students groaned
I took off the rubber gloves.,I was preparing to clean the bathroom.,I was preparing to wash my hands.,cause,,2,1,val,"i took off the rubber gloves.
what was the cause?
(a) i was preparing to clean the bathroom
(b) i was preparing to wash my hands",i was preparing to wash my hands,copa,i was preparing to clean the bathroom,i was preparing to wash my hands
My closet was messy.,I decorated it.,I organized it.,effect,,2,1,val,"my closet was messy.
what was the effect?
(a) i decorated it
(b) i organized it",i organized it,copa,i decorated it,i organized it
The boy found the television show interesting.,He shut it off.,He recorded it.,effect,,2,1,val,"the boy found the television show interesting.
what was the effect?
(a) he shut it off
(b) he recorded it",he recorded it,copa,he shut it off,he recorded it
The man had lipstick on his cheek.,The woman made him blush.,The woman kissed him.,cause,,2,1,val,"the man had lipstick on his cheek.
what was the cause?
(a) the woman made him blush
(b) the woman kissed him",the woman kissed him,copa,the woman made him blush,the woman kissed him
The girl wanted to exercise.,She lost her balance.,She did stretches.,effect,,2,1,val,"the girl wanted to exercise.
what was the effect?
(a) she lost her balance
(b) she did stretches",she did stretches,copa,she lost her balance,she did stretches
The man had a heart attack.,He felt in awe.,He collapsed.,effect,,2,1,val,"the man had a heart attack.
what was the effect?
(a) he felt in awe
(b) he collapsed",he collapsed,copa,he felt in awe,he collapsed
The man had bad eyesight.,He put on glasses.,He went blind.,effect,,1,0,val,"the man had bad eyesight.
what was the effect?
(a) he put on glasses
(b) he went blind",he put on glasses,copa,he put on glasses,he went blind
The woman was in a bad mood.,She engaged in small talk with her friend.,She told her friend to leave her alone.,effect,,2,1,val,"the woman was in a bad mood.
what was the effect?
(a) she engaged in small talk with her friend
(b) she told her friend to leave her alone",she told her friend to leave her alone,copa,she engaged in small talk with her friend,she told her friend to leave her alone
I packed up my belongings.,I was hunting for a new apartment.,I was moving out of my apartment.,cause,,2,1,val,"i packed up my belongings.
what was the cause?
(a) i was hunting for a new apartment
(b) i was moving out of my apartment",i was moving out of my apartment,copa,i was hunting for a new apartment,i was moving out of my apartment
The couple travelled south for the winter.,They were separated.,They were retired.,cause,,2,1,val,"the couple travelled south for the winter.
what was the cause?
(a) they were separated
(b) they were retired",they were retired,copa,they were separated,they were retired
The seasons changed from summer to autumn.,Leaves fell from the trees.,People evacuated their homes.,effect,,1,0,val,"the seasons changed from summer to autumn.
what was the effect?
(a) leaves fell from the trees
(b) people evacuated their homes",leaves fell from the trees,copa,leaves fell from the trees,people evacuated their homes
The woman gave the man her phone number.,She was attracted to him.,She was repulsed by him.,cause,,1,0,val,"the woman gave the man her phone number.
what was the cause?
(a) she was attracted to him
(b) she was repulsed by him",she was attracted to him,copa,she was attracted to him,she was repulsed by him
The man wanted to get revenge on his enemy.,The man declared a truce with his enemy.,The man framed his enemy for a crime.,effect,,2,1,val,"the man wanted to get revenge on his enemy.
what was the effect?
(a) the man declared a truce with his enemy
(b) the man framed his enemy for a crime",the man framed his enemy for a crime,copa,the man declared a truce with his enemy,the man framed his enemy for a crime
The girl stared at herself in the mirror.,She felt self-conscious.,The mirror was smudged.,cause,,1,0,val,"the girl stared at herself in the mirror.
what was the cause?
(a) she felt selfconscious
(b) the mirror was smudged",she felt selfconscious,copa,she felt selfconscious,the mirror was smudged
The girl made a wish.,She saw a black cat.,She saw a shooting star.,cause,,2,1,val,"the girl made a wish.
what was the cause?
(a) she saw a black cat
(b) she saw a shooting star",she saw a shooting star,copa,she saw a black cat,she saw a shooting star
The woman's date wanted to have Japanese cuisine.,He asked her if she liked sushi.,He opened the door for her.,effect,,1,0,val,"the woman's date wanted to have japanese cuisine.
what was the effect?
(a) he asked her if she liked sushi
(b) he opened the door for her",he asked her if she liked sushi,copa,he asked her if she liked sushi,he opened the door for her
The patient said his leg felt numb.,The nurse tested his reflexes.,The nurse gave him an IV.,effect,,1,0,val,"the patient said his leg felt numb.
what was the effect?
(a) the nurse tested his reflexes
(b) the nurse gave him an iv",the nurse tested his reflexes,copa,the nurse tested his reflexes,the nurse gave him an iv
The security guard replayed the surveillance footage.,The surveillance camera was out of focus.,He noticed some suspicious activity.,cause,,2,1,val,"the security guard replayed the surveillance footage.
what was the cause?
(a) the surveillance camera was out of focus
(b) he noticed some suspicious activity",he noticed some suspicious activity,copa,the surveillance camera was out of focus,he noticed some suspicious activity
The mother became eye level with her son.,She held his hand.,She squatted down.,cause,,2,1,val,"the mother became eye level with her son.
what was the cause?
(a) she held his hand
(b) she squatted down",she squatted down,copa,she held his hand,she squatted down
The woman suffered amnesia.,She had an allergic reaction.,She got into a car accident.,cause,,2,1,val,"the woman suffered amnesia.
what was the cause?
(a) she had an allergic reaction
(b) she got into a car accident",she got into a car accident,copa,she had an allergic reaction,she got into a car accident
The boy turned the lid on the jar.,The jar became warm.,The lid came off.,effect,,2,1,val,"the boy turned the lid on the jar.
what was the effect?
(a) the jar became warm
(b) the lid came off",the lid came off,copa,the jar became warm,the lid came off
The young woman was denied entrance into the bar.,Her friends stood her up.,She forgot her ID.,cause,,2,1,val,"the young woman was denied entrance into the bar.
what was the cause?
(a) her friends stood her up
(b) she forgot her id",she forgot her id,copa,her friends stood her up,she forgot her id
The group overlooked the woman's faux pas.,The woman apologized.,The woman was relieved.,effect,,2,1,val,"the group overlooked the woman's faux pas.
what was the effect?
(a) the woman apologized
(b) the woman was relieved",the woman was relieved,copa,the woman apologized,the woman was relieved
The doctor discovered the patient's arm was broken.,He discovered that the patient's arm was broken.,He put the patient's arm in a cast.,effect,,2,1,val,"the doctor discovered the patient's arm was broken.
what was the effect?
(a) he discovered that the patients arm was broken
(b) he put the patients arm in a cast",he put the patients arm in a cast,copa,he discovered that the patients arm was broken,he put the patients arm in a cast
The girl pushed herself off the top of the slide.,She glided down the slide.,She crawled up the slide.,effect,,1,0,val,"the girl pushed herself off the top of the slide.
what was the effect?
(a) she glided down the slide
(b) she crawled up the slide",she glided down the slide,copa,she glided down the slide,she crawled up the slide
My knees buckled on the stairs.,I caught myself on the railing.,The railing came loose from the wall.,effect,,1,0,val,"my knees buckled on the stairs.
what was the effect?
(a) i caught myself on the railing
(b) the railing came loose from the wall",i caught myself on the railing,copa,i caught myself on the railing,the railing came loose from the wall
I planted the seeds in the soil.,The seeds sprouted.,I watered the soil.,effect,,1,0,val,"i planted the seeds in the soil.
what was the effect?
(a) the seeds sprouted
(b) i watered the soil",the seeds sprouted,copa,the seeds sprouted,i watered the soil
The chandelier shattered on the floor.,The chandelier's lights flickered on and off.,The chandelier dropped from the ceiling.,cause,,2,1,val,"the chandelier shattered on the floor.
what was the cause?
(a) the chandeliers lights flickered on and off
(b) the chandelier dropped from the ceiling",the chandelier dropped from the ceiling,copa,the chandeliers lights flickered on and off,the chandelier dropped from the ceiling
The child kicked the stack of blocks.,The stack towered over the boy's head.,The blocks scattered all over the rug.,effect,,2,1,val,"the child kicked the stack of blocks.
what was the effect?
(a) the stack towered over the boys head
(b) the blocks scattered all over the rug",the blocks scattered all over the rug,copa,the stack towered over the boys head,the blocks scattered all over the rug
The skydiver started to fall down.,She opened her parachute.,She jumped out of the plane.,cause,,2,1,val,"the skydiver started to fall down.
what was the cause?
(a) she opened her parachute
(b) she jumped out of the plane",she jumped out of the plane,copa,she opened her parachute,she jumped out of the plane
Most members were unable to join.,The meeting was postponed.,The meeting commenced.,effect,,1,0,val,"most members were unable to join.
what was the effect?
(a) the meeting was postponed
(b) the meeting commenced",the meeting was postponed,copa,the meeting was postponed,the meeting commenced
The child disobeyed her parents.,Her parents punished her.,Her parents hugged her.,effect,,1,0,val,"the child disobeyed her parents.
what was the effect?
(a) her parents punished her
(b) her parents hugged her",her parents punished her,copa,her parents punished her,her parents hugged her
The shopper won a discount on the cost of the item.,He decided to buy it.,He checked its price tag.,effect,,1,0,val,"the shopper won a discount on the cost of the item.
what was the effect?
(a) he decided to buy it
(b) he checked its price tag",he decided to buy it,copa,he decided to buy it,he checked its price tag
The man had a cookie in his hand.,His dog ran over to eat the food.,His dog jumped up on him.,effect,,2,1,val,"the man had a cookie in his hand.
what was the effect?
(a) his dog ran over to eat the food
(b) his dog jumped up on him",his dog jumped up on him,copa,his dog ran over to eat the food,his dog jumped up on him
The sun emerged from the clouds.,The woman glanced at her watch.,The woman took her sweater off.,effect,,2,1,val,"the sun emerged from the clouds.
what was the effect?
(a) the woman glanced at her watch
(b) the woman took her sweater off",the woman took her sweater off,copa,the woman glanced at her watch,the woman took her sweater off
The woman stood by her friend.,Her friend cut off contact with her.,Her friend sent her a greeting card.,effect,,2,1,val,"the woman stood by her friend.
what was the effect?
(a) her friend cut off contact with her
(b) her friend sent her a greeting card",her friend sent her a greeting card,copa,her friend cut off contact with her,her friend sent her a greeting card
I tidied up my house.,I was swamped with work.,I was expecting company.,cause,,2,1,val,"i tidied up my house.
what was the cause?
(a) i was swamped with work
(b) i was expecting company",i was expecting company,copa,i was swamped with work,i was expecting company
The parents left their children with a teacher.,They made plans to celebrate their anniversary.,Their youngest child started attending preschool.,cause,,2,1,val,"the parents left their children with a teacher.
what was the cause?
(a) they made plans to celebrate their anniversary
(b) their youngest child started attending preschool",their youngest child started attending preschool,copa,they made plans to celebrate their anniversary,their youngest child started attending preschool
A gas tank burst in the hall of the school.,The principal called off classes for the day.,The principal suspended the students involved.,effect,,1,0,val,"a gas tank burst in the hall of the school.
what was the effect?
(a) the principal called off classes for the day
(b) the principal suspended the students involved",the principal called off classes for the day,copa,the principal called off classes for the day,the principal suspended the students involved
The police officer shot the gun.,The gun went off.,The gun recoiled.,effect,,2,1,val,"the police officer shot the gun.
what was the effect?
(a) the gun went off
(b) the gun recoiled",the gun recoiled,copa,the gun went off,the gun recoiled
The rider fell to the ground.,The bull bucked the rider.,The bull chased the rider.,cause,,1,0,val,"the rider fell to the ground.
what was the cause?
(a) the bull bucked the rider
(b) the bull chased the rider",the bull bucked the rider,copa,the bull bucked the rider,the bull chased the rider
I approached the man.,He looked familiar.,He looked busy.,cause,,1,0,val,"i approached the man.
what was the cause?
(a) he looked familiar
(b) he looked busy",he looked familiar,copa,he looked familiar,he looked busy
The shop was very popular.,The shop was undergoing renovation.,The owner was helping customers.,cause,,2,1,val,"the shop was very popular.
what was the cause?
(a) the shop was undergoing renovation
(b) the owner was helping customers",the owner was helping customers,copa,the shop was undergoing renovation,the owner was helping customers
The man dressed in his best suit.,He scheduled a meeting with an important client.,His wife bought him a new tie.,cause,,1,0,val,"the man dressed in his best suit.
what was the cause?
(a) he scheduled a meeting with an important client
(b) his wife bought him a new tie",he scheduled a meeting with an important client,copa,he scheduled a meeting with an important client,his wife bought him a new tie
The man did not get the burial at sea he wanted.,His family buried him in the cemetery.,His obituary appeared in the newspaper.,cause,,1,0,val,"the man did not get the burial at sea he wanted.
what was the cause?
(a) his family buried him in the cemetery
(b) his obituary appeared in the newspaper",his family buried him in the cemetery,copa,his family buried him in the cemetery,his obituary appeared in the newspaper
The truck crashed into the main pillar of the bridge.,The bridge collapsed.,The motorcyclist died.,effect,,1,0,val,"the truck crashed into the main pillar of the bridge.
what was the effect?
(a) the bridge collapsed
(b) the motorcyclist died",the bridge collapsed,copa,the bridge collapsed,the motorcyclist died
The man signed the document.,The transaction was voided.,The transaction became official.,effect,,2,1,val,"the man signed the document.
what was the effect?
(a) the transaction was voided
(b) the transaction became official",the transaction became official,copa,the transaction was voided,the transaction became official
The girl worried about a clogged gut.,She lost a tooth.,She swallowed her gum.,cause,,2,1,val,"the girl worried about a clogged gut.
what was the cause?
(a) she lost a tooth
(b) she swallowed her gum",she swallowed her gum,copa,she lost a tooth,she swallowed her gum
The woman went to the polling station.,She casted a vote in the election.,She discovered the outcome of the election.,effect,,1,0,val,"the woman went to the polling station.
what was the effect?
(a) she casted a vote in the election
(b) she discovered the outcome of the election",she casted a vote in the election,copa,she casted a vote in the election,she discovered the outcome of the election
The police eliminated the woman from the list of suspects.,The police interrogated her.,Her alibi checked out.,cause,,2,1,val,"the police eliminated the woman from the list of suspects.
what was the cause?
(a) the police interrogated her
(b) her alibi checked out",her alibi checked out,copa,the police interrogated her,her alibi checked out
Bodybuilding fell out of fashion.,Her muscles became fatigued.,The gym closed.,effect,,2,1,val,"bodybuilding fell out of fashion.
what was the effect?
(a) her muscles became fatigued
(b) the gym closed",the gym closed,copa,her muscles became fatigued,the gym closed
The woman got away with the crime.,She destroyed the evidence.,Her accomplice was apprehended.,cause,,1,0,val,"the woman got away with the crime.
what was the cause?
(a) she destroyed the evidence
(b) her accomplice was apprehended",she destroyed the evidence,copa,she destroyed the evidence,her accomplice was apprehended
The clouds looked dark.,I brought my umbrella to work.,I brought my laptop to work.,effect,,1,0,val,"the clouds looked dark.
what was the effect?
(a) i brought my umbrella to work
(b) i brought my laptop to work",i brought my umbrella to work,copa,i brought my umbrella to work,i brought my laptop to work
The room became bright.,I lit a candle.,I burnt my dinner.,cause,,1,0,val,"the room became bright.
what was the cause?
(a) i lit a candle
(b) i burnt my dinner",i lit a candle,copa,i lit a candle,i burnt my dinner
The offender violated parole.,She was sent back to jail.,She stole money from a church.,effect,,1,0,val,"the offender violated parole.
what was the effect?
(a) she was sent back to jail
(b) she stole money from a church",she was sent back to jail,copa,she was sent back to jail,she stole money from a church
I coughed.,I inhaled smoke.,I lowered my voice.,cause,,1,0,val,"i coughed.
what was the cause?
(a) i inhaled smoke
(b) i lowered my voice",i inhaled smoke,copa,i inhaled smoke,i lowered my voice
The girl wanted to eat cereal.,She lost her appetite.,She poured milk in the bowl.,effect,,2,1,val,"the girl wanted to eat cereal.
what was the effect?
(a) she lost her appetite
(b) she poured milk in the bowl",she poured milk in the bowl,copa,she lost her appetite,she poured milk in the bowl
The driver pulled over to the side of the road.,He noticed a stranded vehicle.,He went through an intersection.,cause,,1,0,val,"the driver pulled over to the side of the road.
what was the cause?
(a) he noticed a stranded vehicle
(b) he went through an intersection",he noticed a stranded vehicle,copa,he noticed a stranded vehicle,he went through an intersection
I pushed the pendulum.,It swung back and forth.,It slowed to a stop.,effect,,1,0,val,"i pushed the pendulum.
what was the effect?
(a) it swung back and forth
(b) it slowed to a stop",it swung back and forth,copa,it swung back and forth,it slowed to a stop
The hospital sent the patient home.,The patient's symptoms cleared up.,The patient's family visited him.,cause,,1,0,val,"the hospital sent the patient home.
what was the cause?
(a) the patients symptoms cleared up
(b) the patients family visited him",the patients symptoms cleared up,copa,the patients symptoms cleared up,the patients family visited him
The physician misdiagnosed the patient.,The patient disclosed confidential information to the physician.,The patient filed a malpractice lawsuit against the physician.,effect,,2,1,val,"the physician misdiagnosed the patient.
what was the effect?
(a) the patient disclosed confidential information to the physician
(b) the patient filed a malpractice lawsuit against the physician",the patient filed a malpractice lawsuit against the physician,copa,the patient disclosed confidential information to the physician,the patient filed a malpractice lawsuit against the physician
The sun shined very brightly.,The swimmers put on more sunscreen.,The swimmers returned towards the shore.,effect,,1,0,val,"the sun shined very brightly.
what was the effect?
(a) the swimmers put on more sunscreen
(b) the swimmers returned towards the shore",the swimmers put on more sunscreen,copa,the swimmers put on more sunscreen,the swimmers returned towards the shore
The surfer saw the wave.,She paddled her board into the ocean.,The wave carried her to the shore.,effect,,1,0,val,"the surfer saw the wave.
what was the effect?
(a) she paddled her board into the ocean
(b) the wave carried her to the shore",she paddled her board into the ocean,copa,she paddled her board into the ocean,the wave carried her to the shore
The boy cut his hand in the sand.,He was building a sand castle.,He was collecting seashells in the sand.,cause,,2,1,val,"the boy cut his hand in the sand.
what was the cause?
(a) he was building a sand castle
(b) he was collecting seashells in the sand",he was collecting seashells in the sand,copa,he was building a sand castle,he was collecting seashells in the sand
The woman hired a lawyer.,She decided to run for office.,She decided to sue her employer.,cause,,2,1,val,"the woman hired a lawyer.
what was the cause?
(a) she decided to run for office
(b) she decided to sue her employer",she decided to sue her employer,copa,she decided to run for office,she decided to sue her employer
The child was not vaccinated but did not get the disease.,He received the vaccine for the disease.,He avoided exposure to the disease.,cause,,2,1,val,"the child was not vaccinated but did not get the disease.
what was the cause?
(a) he received the vaccine for the disease
(b) he avoided exposure to the disease",he avoided exposure to the disease,copa,he received the vaccine for the disease,he avoided exposure to the disease
The son told his parents that a hamburger is not enough.,They ordered fries with the hamburger.,They cut the hamburger in half.,effect,,1,0,val,"the son told his parents that a hamburger is not enough.
what was the effect?
(a) they ordered fries with the hamburger
(b) they cut the hamburger in half",they ordered fries with the hamburger,copa,they ordered fries with the hamburger,they cut the hamburger in half
The company lost money.,Its products received positive consumer reviews.,Some of its products were manufactured defectively.,cause,,2,1,val,"the company lost money.
what was the cause?
(a) its products received positive consumer reviews
(b) some of its products were manufactured defectively",some of its products were manufactured defectively,copa,its products received positive consumer reviews,some of its products were manufactured defectively
The woman reconnected with distant relatives.,Her family got in touch with her.,There was a death in her family.,cause,,1,0,val,"the woman reconnected with distant relatives.
what was the cause?
(a) her family got in touch with her
(b) there was a death in her family",her family got in touch with her,copa,her family got in touch with her,there was a death in her family
The swimmer did not win the race.,Her team lost the meet.,She received a gold medal.,effect,,1,0,val,"the swimmer did not win the race.
what was the effect?
(a) her team lost the meet
(b) she received a gold medal",her team lost the meet,copa,her team lost the meet,she received a gold medal
My room looked boring.,I decorated it.,I organized it.,effect,,1,0,val,"my room looked boring.
what was the effect?
(a) i decorated it
(b) i organized it",i decorated it,copa,i decorated it,i organized it
The girl felt dizzy.,She did stretches.,She lost her balance.,effect,,2,1,val,"the girl felt dizzy.
what was the effect?
(a) she did stretches
(b) she lost her balance",she lost her balance,copa,she did stretches,she lost her balance
I stood on one foot.,My balance wavered.,I kneeled down.,effect,,1,0,val,"i stood on one foot.
what was the effect?
(a) my balance wavered
(b) i kneeled down",my balance wavered,copa,my balance wavered,i kneeled down
I salesman's pitch was very good.,He persuaded me to buy the product.,I turned his offer down.,effect,,1,0,val,"i salesman's pitch was very good.
what was the effect?
(a) he persuaded me to buy the product
(b) i turned his offer down",he persuaded me to buy the product,copa,he persuaded me to buy the product,i turned his offer down
The book became a huge bestseller.,The author faded into obscurity.,It was adapted into a movie.,effect,,2,1,val,"the book became a huge bestseller.
what was the effect?
(a) the author faded into obscurity
(b) it was adapted into a movie",it was adapted into a movie,copa,the author faded into obscurity,it was adapted into a movie
The man looked at his list.,He realized he was early.,He realized he forgot something.,effect,,2,1,val,"the man looked at his list.
what was the effect?
(a) he realized he was early
(b) he realized he forgot something",he realized he forgot something,copa,he realized he was early,he realized he forgot something
The man's watch was broken.,He waited at the bus stop.,He asked a stranger for the time.,effect,,2,1,val,"the man's watch was broken.
what was the effect?
(a) he waited at the bus stop
(b) he asked a stranger for the time",he asked a stranger for the time,copa,he waited at the bus stop,he asked a stranger for the time
The woman presented her brother with a gift.,Her brother unwrapped the gift.,Her brother refused to accept the gift.,effect,,1,0,val,"the woman presented her brother with a gift.
what was the effect?
(a) her brother unwrapped the gift
(b) her brother refused to accept the gift",her brother unwrapped the gift,copa,her brother unwrapped the gift,her brother refused to accept the gift
The journalist wrote a biography about the humanitarian's life.,The humanitarian was difficult for the journalist to interview.,The journalist was intrigued by the humanitarian's work.,cause,,2,1,val,"the journalist wrote a biography about the humanitarian's life.
what was the cause?
(a) the humanitarian was difficult for the journalist to interview
(b) the journalist was intrigued by the humanitarians work",the journalist was intrigued by the humanitarians work,copa,the humanitarian was difficult for the journalist to interview,the journalist was intrigued by the humanitarians work
The woman felt compelled to express herself.,She donated blood.,She wrote a poem.,effect,,2,1,val,"the woman felt compelled to express herself.
what was the effect?
(a) she donated blood
(b) she wrote a poem",she wrote a poem,copa,she donated blood,she wrote a poem
The company was seeking highly specialized talent.,It moved its headquarters to a suburban location.,It increased its marketing efforts for new products.,effect,,1,0,val,"the company was seeking highly specialized talent.
what was the effect?
(a) it moved its headquarters to a suburban location
(b) it increased its marketing efforts for new products",it moved its headquarters to a suburban location,copa,it moved its headquarters to a suburban location,it increased its marketing efforts for new products
The woman wanted a divorce. ,She cancelled her appointments.,She contacted her lawyer.,effect,,2,1,val,"the woman wanted a divorce. 
what was the effect?
(a) she cancelled her appointments
(b) she contacted her lawyer",she contacted her lawyer,copa,she cancelled her appointments,she contacted her lawyer
The woman ignored the man.,She was attracted to him.,She was repulsed by him.,cause,,2,1,val,"the woman ignored the man.
what was the cause?
(a) she was attracted to him
(b) she was repulsed by him",she was repulsed by him,copa,she was attracted to him,she was repulsed by him
The driver got a ticket.,He went over the speed limit.,He ran over a nail.,cause,,1,0,val,"the driver got a ticket.
what was the cause?
(a) he went over the speed limit
(b) he ran over a nail",he went over the speed limit,copa,he went over the speed limit,he ran over a nail
The item was packaged in bubble wrap.,It was fragile.,It was small.,cause,hard,1,0,test,"the item was packaged in bubble wrap.
what was the cause?
(a) it was fragile
(b) it was small",it was fragile,copa,it was fragile,it was small
I emptied my pockets.,I retrieved a ticket stub.,I found a weapon.,effect,hard,1,0,test,"i emptied my pockets.
what was the effect?
(a) i retrieved a ticket stub
(b) i found a weapon",i retrieved a ticket stub,copa,i retrieved a ticket stub,i found a weapon
Termites invaded the house.,The termites disappeared from the house.,The termites ate through the wood in the house.,effect,hard,2,1,test,"termites invaded the house.
what was the effect?
(a) the termites disappeared from the house
(b) the termites ate through the wood in the house",the termites ate through the wood in the house,copa,the termites disappeared from the house,the termites ate through the wood in the house
The travelers reached the border.,The patrol agent checked their passports.,The patrol agent accused them of smuggling.,effect,hard,1,0,test,"the travelers reached the border.
what was the effect?
(a) the patrol agent checked their passports
(b) the patrol agent accused them of smuggling",the patrol agent checked their passports,copa,the patrol agent checked their passports,the patrol agent accused them of smuggling
The office was closed.,It was a holiday.,It was summer.,cause,hard,1,0,test,"the office was closed.
what was the cause?
(a) it was a holiday
(b) it was summer",it was a holiday,copa,it was a holiday,it was summer
The girl ran out of energy.,She played checkers.,She jumped rope.,cause,hard,2,1,test,"the girl ran out of energy.
what was the cause?
(a) she played checkers
(b) she jumped rope",she jumped rope,copa,she played checkers,she jumped rope
The woman lost her place in line.,More people entered the line.,She stepped out of the line.,cause,hard,2,1,test,"the woman lost her place in line.
what was the cause?
(a) more people entered the line
(b) she stepped out of the line",she stepped out of the line,copa,more people entered the line,she stepped out of the line
